"DATELASTUPDATED","DEFINITION","IDENTIFIER","REFERENCEURL","TITLE","VOCABULARYID"
"2025-04-09 08:02:32.39","","55","","5 yr Obsolete District Abatement","23"
"2025-04-09 08:02:32.35","","40","","Acad. School-Convent","23"
"2025-04-09 08:02:32.527","","850","","Agricultural","23"
"2025-04-09 08:02:32.523","","802","","Appurtenances","23"
"2025-04-09 08:02:32.43","","160","","Assoc. Estates -Res","23"
"2025-04-09 08:02:32.28","","18","","Associations","23"
"2025-04-09 08:02:32.493","","760","","Associations Estates","23"
"2025-04-09 08:02:32.433","","165","","Bank & Trusts -Res","23"
"2025-04-09 08:02:32.497","","765","","Banks And Trusts","23"
"2025-04-09 08:02:32.283","","19","","Baptist Churches","23"
"2025-04-09 08:02:32.397","","80","","Billboard Storage","23"
"2025-04-09 08:02:32.367","","46","","Bi-State Development","23"
"2025-04-09 08:02:32.23","","1","","Board of Education","23"
"2025-04-09 08:02:32.287","","21","","Cemeteries","23"
"2025-04-09 08:02:32.407","","99","","Chapter Redevelop","23"
"2025-04-09 08:02:32.437","","170","","Chrch-Schl-Hosp -Res","23"
"2025-04-09 08:02:32.29","","22","","Christian Churches","23"
"2025-04-09 08:02:32.293","","23","","Church of God","23"
"2025-04-09 08:02:32.497","","770","","Churches-School-Hosp","23"
"2025-04-09 08:02:32.387","","54","","Common Area","23"
"2025-04-09 08:02:32.47","","200","","Company","23"
"2025-04-09 08:02:32.297","","24","","Congregation Church","23"
"2025-04-09 08:02:32.357","","42","","Corp and Societies","23"
"2025-04-09 08:02:32.393","","60","","Data Storage","23"
"2025-04-09 08:02:32.403","","90","","Demolition/Nuisance","23"
"2025-04-09 08:02:32.473","","235","","Enterprise Abatement","23"
"2025-04-09 08:02:32.3","","25","","Episcopal Churches","23"
"2025-04-09 08:02:32.303","","26","","Evangelical Churches","23"
"2025-04-09 08:02:32.307","","27","","Evangelical Luth Ch","23"
"2025-04-09 08:02:32.237","","3","","Fire Department","23"
"2025-04-09 08:02:32.307","","28","","Hospitals-Sanitarium","23"
"2025-04-09 08:02:32.41","","100","","Individual","23"
"2025-04-09 08:02:32.31","","29","","Institutes","23"
"2025-04-09 08:02:32.26","","12","","Jeff Expansion Mem","23"
"2025-04-09 08:02:32.313","","30","","Jewish Synagogues","23"
"2025-04-09 08:02:32.343","","38","","Jr. College District","23"
"2025-04-09 08:02:32.37","","48","","Land Clearance Redev","23"
"2025-04-09 08:02:32.373","","49","","Land Re-Utilization","23"
"2025-04-09 08:02:32.527","","803","","Lease Hold Value","23"
"2025-04-09 08:02:32.317","","31","","Lutheran Churches","23"
"2025-04-09 08:02:32.23","","2","","M. S. D.","23"
"2025-04-09 08:02:32.287","","20","","May-Catholic Churches","23"
"2025-04-09 08:02:32.32","","33","","Meth-Episcopal Churc","23"
"2025-04-09 08:02:32.317","","32","","Methodist Churches","23"
"2025-04-09 08:02:32.33","","35","","Misc Organizations","23"
"2025-04-09 08:02:32.327","","34","","Miscellaneous Church","23"
"2025-04-09 08:02:32.44","","180","","Mo Botan. Gardens -Res","23"
"2025-04-09 08:02:32.5","","780","","Mo Botanical Gardens","23"
"2025-04-09 08:02:32.24","","5","","Municipal Bridges","23"
"2025-04-09 08:02:32.333","","36","","Nazarene Churches","23"
"2025-04-09 08:02:32.243","","6","","Park-Playground-Plaz","23"
"2025-04-09 08:02:32.51","","790","","Phone, Elec and Gas","23"
"2025-04-09 08:02:32.45","","190","","Phone-Elec-Gas -Res","23"
"2025-04-09 08:02:32.377","","50","","Planned Industrial","23"
"2025-04-09 08:02:32.247","","7","","Police Department","23"
"2025-04-09 08:02:32.337","","37","","Presbyterian Church","23"
"2025-04-09 08:02:32.247","","8","","Public Buildings","23"
"2025-04-09 08:02:32.25","","9","","Public Libraries","23"
"2025-04-09 08:02:32.517","","800","","Railroads","23"
"2025-04-09 08:02:32.467","","199","","Redevelopment","23"
"2025-04-09 08:02:32.417","","147","","Redevelopment","23"
"2025-04-09 08:02:32.417","","148","","Redevelopment","23"
"2025-04-09 08:02:32.42","","150","","Redevelopment","23"
"2025-04-09 08:02:32.423","","153","","Redevelopment","23"
"2025-04-09 08:02:32.477","","247","","Redevelopment","23"
"2025-04-09 08:02:32.477","","248","","Redevelopment","23"
"2025-04-09 08:02:32.48","","250","","Redevelopment","23"
"2025-04-09 08:02:32.483","","253","","Redevelopment","23"
"2025-04-09 08:02:32.487","","255","","Redevelopment","23"
"2025-04-09 08:02:32.49","","299","","Redevelopment","23"
"2025-04-09 08:02:32.427","","155","","Redevelopment - 5 yr Abatement","23"
"2025-04-09 08:02:32.353","","41","","Scientists","23"
"2025-04-09 08:02:32.447","","185","","Soc-Club-Union -Res","23"
"2025-04-09 08:02:32.507","","785","","Societies-Club-Union","23"
"2025-04-09 08:02:32.387","","53","","St Louis Municipal Finance","23"
"2025-04-09 08:02:32.237","","4","","St. Louis Miscellan","23"
"2025-04-09 08:02:32.38","","52","","St. Louis Regional Sports Complex","23"
"2025-04-09 08:02:32.347","","39","","St. Louis University","23"
"2025-04-09 08:02:32.257","","11","","St. Louis Wharf","23"
"2025-04-09 08:02:32.363","","45","","St. Louis-Tax Sales","23"
"2025-04-09 08:02:32.267","","14","","State of Missouri","23"
"2025-04-09 08:02:32.4","","81","","State Tax Commission","23"
"2025-04-09 08:02:32.52","","801","","State Tax Commission","23"
"2025-04-09 08:02:32.38","","51","","StL County Housing A","23"
"2025-04-09 08:02:32.263","","13","","StL Housing Auth","23"
"2025-04-09 08:02:32.357","","43","","Tabernacles","23"
"2025-04-09 08:02:32.27","","15","","U. S. A.","23"
"2025-04-09 08:02:32.513","","795","","U.S. Property","23"
"2025-04-09 08:02:32.463","","195","","U.S. Property -Res","23"
"2025-04-09 08:02:32.367","","47","","Urban Redevelopment","23"
"2025-04-09 08:02:32.273","","16","","USA Ordinance Plant","23"
"2025-04-09 08:02:32.277","","17","","USA Veteran Hospital","23"
"2025-04-09 08:02:32.36","","44","","Wash University","23"
"2025-04-09 08:02:32.253","","10","","Water Department","23"
