"DATELASTUPDATED","DEFINITION","IDENTIFIER","REFERENCEURL","TITLE","VOCABULARYID"
"2025-04-09 08:03:19.16","","6593","","ACCOUNTING, AUDITING, AND BOOKKEEPING SERVICES","24"
"2025-04-09 08:03:19.257","","6755","","ADMINISTRATION OR COMMAND CENTERS","24"
"2025-04-09 08:03:19.277","","6814","","ADULT DAYCARE","24"
"2025-04-09 08:03:19.313","","6838","","ADULT EDUCATION","24"
"2025-04-09 08:03:17.413","","2870","","AGRICULTURAL CHEMICALS","24"
"2025-04-09 08:03:19.63","","8200","","AGRICULTURAL RELATED ACTIVITIES","24"
"2025-04-09 08:03:16.737","","1","","AGRICULTURAL RELATED ACTIVITIES (NEW CODE IS 8200)","24"
"2025-04-09 08:03:18.753","","6122","","AGRICULTURAL, BUSINESS, PERSONAL CREDIT SERVICES","24"
"2025-04-09 08:03:16.753","","1017","","AGRICULTURAL-RESIDENTIAL USE","24"
"2025-04-09 08:03:18.317","","5173","","AIR CONDITIONING, REFRIGERATED EQUIPMENT AND SUPPLIES","24"
"2025-04-09 08:03:18.507","","5592","","AIR CRAFT AND ACCESSORIES","24"
"2025-04-09 08:03:18.923","","6262","","AIRBNB","24"
"2025-04-09 08:03:17.79","","3442","","AIRCRAFT AND PARTS","24"
"2025-04-09 08:03:18.017","","4300","","AIRCRAFT TRANSPORTATION","24"
"2025-04-09 08:03:18.627","","5903","","ALARM - INSTALLATION & SALES ONLY","24"
"2025-04-09 08:03:18.623","","5902","","ALARM - MONITORING ONLY","24"
"2025-04-09 08:03:18.62","","5901","","ALARM - MONITORING, INSTALLATION & SALES","24"
"2025-04-09 08:03:18.633","","5904","","ALARM - SALES ONLY","24"
"2025-04-09 08:03:18.903","","6251","","ALTERATION AND REPAIR","24"
"2025-04-09 08:03:17.643","","3334","","ALUMINUM PRODUCTION","24"
"2025-04-09 08:03:17.68","","3412","","AMMUNITION AND ASSEMBLY OF GUIDED MISSILES AND SPACE VEHICLES","24"
"2025-04-09 08:03:19.417","","7211","","AMPHITHEATRES","24"
"2025-04-09 08:03:19.457","","7301","","AMUSEMENT DECAL $10.00","24"
