"DATELASTUPDATED","DEFINITION","IDENTIFIER","REFERENCEURL","TITLE","VOCABULARYID"
"2025-11-24 08:43:55.103","","40","","Ashlar Stone Veneer w/Block Backup","58"
"2025-11-24 08:43:55.347","","75","","Block with EIFS","58"
"2025-11-24 08:43:55.317","","68","","Block with Stucco","58"
"2025-11-24 08:43:55.087","","31","","Brick or Concrete Block","58"
"2025-11-24 08:43:55.11","","41","","Brick with Block Back-up","58"
"2025-11-24 08:43:55.117","","42","","Brick-Solid","58"
"2025-11-24 08:43:55.12","","43","","Cavity Brick w/Block Back-up","58"
"2025-11-24 08:43:55.28","","61","","Cavity Concrete Block","58"
"2025-11-24 08:43:55.333","","72","","Cavity Concrete Block","58"
"2025-11-24 08:43:55.3","","65","","Cement Fiber Sandwich Panel","58"
"2025-11-24 08:43:55.297","","64","","Concrete Block","58"
"2025-11-24 08:43:55.323","","70","","Concrete Block-Textured Face","58"
"2025-11-24 08:43:55.127","","44","","Concrete w/SIP Forming","58"
"2025-11-24 08:43:55.287","","62","","Concrete-Formed","58"
"2025-11-24 08:43:55.133","","45","","Concrete-Precast Panels","58"
"2025-11-24 08:43:55.137","","46","","Concrete-Tilt-up","58"
"2025-11-24 08:43:55.257","","57","","Curtain-Concrete & Glass Panels","58"
"2025-11-24 08:43:55.143","","47","","Curtain-EIFS Panels","58"
"2025-11-24 08:43:55.147","","48","","Curtain-Glass Fiber Panels","58"
"2025-11-24 08:43:55.273","","60","","Curtain-Masonry Panels","58"
"2025-11-24 08:43:55.27","","59","","Curtain-Metal with Glass Panels","58"
"2025-11-24 08:43:55.353","","76","","Curtain-Stainless Steel Panels","58"
"2025-11-24 08:43:55.377","","81","","Curtain-Wood Siding Panels","58"
"2025-11-24 08:43:55.15","","49","","Default Walls","58"
"2025-11-24 08:43:55.367","","79","","Fiberglass Panels on Steel Frame","58"
"2025-11-24 08:43:55.337","","73","","Fiberglass Panels on Wood Frame","58"
"2025-11-24 08:43:55.097","","32","","Frame","58"
"2025-11-24 08:43:55.31","","67","","Hardboard Siding","58"
"2025-11-24 08:43:55.307","","66","","Masonry Veneer","58"
"2025-11-24 08:43:55.32","","69","","PE-Eng-Tex Covered Metal Sandwich","58"
"2025-11-24 08:43:55.343","","74","","PE-Fiberglass Sandwich Panels","58"
"2025-11-24 08:43:55.167","","50","","PE-Metal Sandwich Panels","58"
"2025-11-24 08:43:55.357","","77","","PF-Metal & Glass Panels","58"
"2025-11-24 08:43:55.363","","78","","PF-Stone Veneer on Metal Panels","58"
"2025-11-24 08:43:55.263","","58","","Single -Metal on Steel Frame","58"
"2025-11-24 08:43:55.373","","80","","Single -Metal on Wood Frame","58"
"2025-11-24 08:43:55.38","","82","","Single -Wall-Boards on Wood","58"
"2025-11-24 08:43:55.173","","51","","Solid Limestone","58"
"2025-11-24 08:43:55.1","","33","","Stone","58"
"2025-11-24 08:43:55.213","","56","","Stud -Cement Fiber Siding","58"
"2025-11-24 08:43:55.207","","55","","Stud-Block Veneer","58"
"2025-11-24 08:43:55.187","","52","","Stud-Brick Veneer","58"
"2025-11-24 08:43:55.327","","71","","Stud-EIFS (Synthetic Stucco)","58"
"2025-11-24 08:43:55.2","","54","","Stud-Metal Siding","58"
"2025-11-24 08:43:55.29","","63","","Stud-Synthetic Masonry Veneer","58"
"2025-11-24 08:43:55.197","","53","","Stud-Vinyl Siding","58"
