"DATELASTUPDATED","DEFINITION","IDENTIFIER","REFERENCEURL","TITLE","VOCABULARYID"
"2026-02-27 17:48:52.1","","51","https://www.stlouis-mo.gov/live-work/community/neighborhoods/academy/","Academy","1"
"2026-02-27 17:48:52.1","","74","https://www.stlouis-mo.gov/live-work/community/neighborhoods/baden/","Baden","1"
"2026-02-27 17:55:01.773","Not actually a neighborhood, but tracked as one in some datasets","86","","Bellefontaine/Calvary Cemeteries","1"
"2026-02-27 17:48:52.1","","22","https://www.stlouis-mo.gov/live-work/community/neighborhoods/benton-park/","Benton Park","1"
"2026-02-27 17:48:52.1","","30","https://www.stlouis-mo.gov/live-work/community/neighborhoods/benton-park-west/","Benton Park West","1"
"2026-02-27 17:48:52.1","","5","https://www.stlouis-mo.gov/live-work/community/neighborhoods/bevo-mill/","Bevo Mill","1"
"2026-02-27 17:48:52.1","","28","https://www.stlouis-mo.gov/live-work/community/neighborhoods/botanical-heights/","Botanical Heights","1"
"2026-02-27 17:48:52.1","","4","https://www.stlouis-mo.gov/live-work/community/neighborhoods/boulevard-heights/","Boulevard Heights","1"
"2026-02-27 17:48:52.1","","1","https://www.stlouis-mo.gov/live-work/community/neighborhoods/carondelet/","Carondelet","1"
"2026-02-27 17:55:01.773","Not actually a neighborhood, but tracked as one in some datasets","80","","Carondelet Park","1"
"2026-02-27 17:48:52.1","","61","https://www.stlouis-mo.gov/live-work/community/neighborhoods/carr-square/","Carr Square","1"
"2026-02-27 17:48:52.1","","38","https://www.stlouis-mo.gov/live-work/community/neighborhoods/central-west-end/","Central West End","1"
"2026-02-27 17:48:52.1","","41","https://www.stlouis-mo.gov/live-work/community/neighborhoods/cheltenham/","Cheltenham","1"
"2026-02-27 17:48:52.1","","42","https://www.stlouis-mo.gov/live-work/community/neighborhoods/clayton-tamm/","Clayton Tamm","1"
"2026-02-27 17:48:52.1","","11","https://www.stlouis-mo.gov/live-work/community/neighborhoods/clifton-heights/","Clifton Heights","1"
"2026-02-27 17:48:52.1","","66","https://www.stlouis-mo.gov/live-work/community/neighborhoods/college-hill/","College Hill","1"
"2026-02-27 17:48:52.1","","62","https://www.stlouis-mo.gov/live-work/community/neighborhoods/columbus-square/","Columbus Square","1"
"2026-02-27 17:48:52.1","","26","https://www.stlouis-mo.gov/live-work/community/neighborhoods/compton-heights/","Compton Heights","1"
"2026-02-27 17:48:52.1","","77","https://www.stlouis-mo.gov/live-work/community/neighborhoods/covenant-blu-grand-center/","Covenant Blu-Grand Center","1"
"2026-02-27 17:48:52.1","","47","https://www.stlouis-mo.gov/live-work/community/neighborhoods/debaliviere-place/","DeBaliviere Place","1"
"2026-02-27 17:48:52.1","","35","https://www.stlouis-mo.gov/live-work/community/neighborhoods/downtown/","Downtown","1"
"2026-02-27 17:48:52.1","","36","https://www.stlouis-mo.gov/live-work/community/neighborhoods/downtown-west/","Downtown West","1"
"2026-02-27 17:48:52.1","","16","https://www.stlouis-mo.gov/live-work/community/neighborhoods/dutchtown/","Dutchtown","1"
"2026-02-27 17:48:52.1","","10","https://www.stlouis-mo.gov/live-work/community/neighborhoods/ellendale/","Ellendale","1"
"2026-03-04 11:12:10.477","","67","https://www.stlouis-mo.gov/live-work/community/neighborhoods/fairground/","Fairground Neighborhood","1"
"2026-02-27 17:55:01.773","Not actually a neighborhood, but tracked as one in some datasets","83","","Fairground Park","1"
"2026-02-27 17:55:01.773","Not actually a neighborhood, but tracked as one in some datasets","82","","Forest Park","1"
"2026-02-27 17:48:52.1","","39","https://www.stlouis-mo.gov/live-work/community/neighborhoods/forest-park-southeast/","Forest Park Southeast","1"
