"DATELASTUPDATED","DEFINITION","IDENTIFIER","REFERENCEURL","TITLE","VOCABULARYID"
"2022-03-30 09:38:55.15","","","","Avenue","66"
"2022-03-30 09:39:11.843","","","","Boulevard","66"
"2022-03-30 09:39:18.927","","","","Court","66"
"2022-03-30 09:39:25.957","","","","Drive","66"
"2022-03-30 09:39:32.937","","","","Lane","66"
"2022-03-30 09:39:40.603","","","","Mall","66"
"2022-03-30 09:39:46.93","","","","Place","66"
"2022-03-30 09:40:16.2","","","","Rail Road","66"
"2022-03-30 09:39:55.387","","","","Road","66"
"2022-03-30 09:40:03.217","","","","Row","66"
"2022-03-30 09:40:24.237","","","","Street","66"
"2022-03-30 09:40:31.077","","","","Terrace","66"
"2022-03-30 09:40:37.99","","","","Walk","66"
"2022-03-30 09:40:44.903","","","","Way","66"
