"DATELASTUPDATED","DEFINITION","IDENTIFIER","REFERENCEURL","TITLE","VOCABULARYID"
"2019-09-26 13:54:30.553","","H","","Area Commercial","53"
"2019-09-26 13:54:30.557","","I","","Central Business District","53"
"2019-09-26 13:54:30.56","","J","","Industrial","53"
"2019-09-26 13:54:30.567","","L","","Jefferson Memorial District","53"
"2019-09-26 13:54:30.55","","G","","Local Commercial and Office","53"
"2019-09-26 13:54:30.54","","C","","Multiple Family Residential","53"
"2019-09-26 13:54:30.543","","D","","Multiple Family Residential","53"
"2019-09-26 13:54:30.547","","E","","Multiple Family Residential","53"
"2019-09-26 13:54:30.55","","F","","Neighborhood Commercial","53"
"2019-09-26 13:54:30.57","","X","","Not Zoned","53"
"2019-09-26 13:54:30.533","","A","","Single Family Residential","53"
"2019-09-26 13:54:30.537","","B","","Two Family Residential","53"
"2019-09-26 13:54:30.563","","K","","Unrestricted","53"
