"DATAFORMAT","DATASETID","DATATYPEID","DESCRIPTION","DISTRIBUTIONID","LABEL","NAME","VOCABULARYID"
"","0","110","","195","Assessor's Class Code","AsrClassCode","23"
"","0","115","","195","Assessor's Land Use Code #1","AsrLandUse1","24"
"","0","110","Present, if necessary, otherwise ""0""","195","Assessor's Land Use Code #2","AsrLandUse2","24"
"","0","110","Collector of Revenue's city block number.","195","Collector of Revenue City Block","ColCityBlock","0"
"","0","111","Collector of Revenue's parcel number, is only unique within a single City Block parent.","195","Collector of Revenue's Parcel Number","ColParcel","0"
"","0","110","An unformatted version of the Collector of Revenue's Parcel ID numbering scheme. This is, essentially, the parcel numbering scheme used across many departments to refer to a parcel, pre-2021 parcel numbering scheme update.","195","Collector of Revenue Parcel ID","ColParcelId","0"
"","0","110","A numbering schema originally introduced to aid in the handling of condominiums. DEPRECATED.","195","HANDLE","HANDLE","0"
"","0","110","Highest house number that can be used to reference this parcel on its primary street.","195","Highest Address Number","HighAddrNum","0"
"","0","109","Address Suffix for the HighAddrNum. Usually a letter for ""unit"", an F or R for Front or Rear, or a directionality letter indicating placement within the parcel's geography.","195","Highest Address Suffix","HighAddrSuf","0"
"","0","110","Lowest house number that can be used to reference this parcel on its primary street.","195","Lower Address Number","LowAddrNum","0"
"","0","109","Address Suffix for the LowAddrNum. Usually a letter for ""unit"", an F or R for Front or Rear, or a directionality letter indicating placement within the parcel's geography.","195","Lowest Address Suffix","LowAddrSuf","0"
"","0","110","","195","Neighborhood Number","NBRHD","1"
"","0","110","An unformatted parcel ID in the schema introduced by the Assessor's office in 2021.","195","Parcel ID","ParcelId","0"
"","0","109","Main address used for parcel within city records.","195","Site Address","SITEADDR","0"
"","0","109","Unit number for parcel if in use.","195","Standard Unit Number","StdUnitNum","0"
"","0","109","","195","Street Name","StName","0"
"","0","111","","195","Street Prefix Direction","StPreDir","65"
"","0","111","Currently only includes ""SE"" or ""W"" when present.","195","Street Suffix Direction","StSufDir","0"
"","0","109","","195","Street Type","StType","66"
"","0","110","","195","Zip Code","ZIP","0"
